timestamp,hour,wind speed,wind direction,friction velocity,wind speed_10 m,wind direction_10 m
20200414,12,2.0,145.0,2.7808475974257663,2.910448397928919,145.0
20200414,13,2.0,149.0,2.7808475974257663,2.910448397928919,149.0
20200414,14,1.9,154.0,2.641805217554478,2.764925978032473,154.0
20200414,15,1.6,157.0,2.2246780779406135,2.3283587183431353,157.0
20200414,16,1.2,157.0,1.6685085584554598,1.7462690387573514,157.0
20200414,17,0.8,171.0,1.1123390389703067,1.1641793591715677,171.0
20200414,18,0.6,216.0,0.8342542792277299,0.8731345193786757,216.0
20200414,19,0.7,244.0,0.9732966590990181,1.0186569392751215,244.0
20200414,20,0.7,258.0,0.9732966590990181,1.0186569392751215,258.0
20200414,21,0.7,275.0,0.9732966590990181,1.0186569392751215,275.0
20200414,22,0.8,282.0,1.1123390389703067,1.1641793591715677,282.0
20200414,23,0.8,283.0,1.1123390389703067,1.1641793591715677,283.0
20200415,0,0.8,278.0,1.1123390389703067,1.1641793591715677,278.0
20200415,1,0.9,276.0,1.251381418841595,1.3097017790680137,276.0
20200415,2,1.1,266.0,1.5294661785841717,1.6007466188609056,266.0
20200415,3,1.3,255.0,1.807550938326748,1.8917914586537974,255.0
20200415,4,1.4,241.0,1.9465933181980362,2.037313878550243,241.0
20200415,5,1.2,218.0,1.6685085584554598,1.7462690387573514,218.0
20200415,6,1.2,198.0,1.6685085584554598,1.7462690387573514,198.0
20200415,7,1.2,187.0,1.6685085584554598,1.7462690387573514,187.0
20200415,8,1.0,175.0,1.3904237987128831,1.4552241989644594,175.0
20200415,9,1.1,153.0,1.5294661785841717,1.6007466188609056,153.0
20200415,10,1.1,136.0,1.5294661785841717,1.6007466188609056,136.0
20200415,11,1.2,125.0,1.6685085584554598,1.7462690387573514,125.0
20200415,12,1.2,117.0,1.6685085584554598,1.7462690387573514,117.0
20200415,13,1.3,111.0,1.807550938326748,1.8917914586537974,111.0
20200415,14,1.4,105.0,1.9465933181980362,2.037313878550243,105.0
20200415,15,1.8,95.0,2.50276283768319,2.6194035581360273,95.0
20200415,16,1.9,90.0,2.641805217554478,2.764925978032473,90.0
20200415,17,2.0,87.0,2.7808475974257663,2.910448397928919,87.0
20200415,18,2.0,83.0,2.7808475974257663,2.910448397928919,83.0
20200415,19,2.0,79.0,2.7808475974257663,2.910448397928919,79.0
20200415,20,1.9,71.0,2.641805217554478,2.764925978032473,71.0
20200415,21,1.8,62.0,2.50276283768319,2.6194035581360273,62.0
20200415,22,1.7,56.0,2.3637204578119015,2.473881138239581,56.0
20200415,23,1.3,61.0,1.807550938326748,1.8917914586537974,61.0
20200416,0,0.8,108.0,1.1123390389703067,1.1641793591715677,108.0
20200416,1,1.5,180.0,2.085635698069325,2.182836298446689,180.0
20200416,2,2.5,197.0,3.476059496782208,3.6380604974111486,197.0
20200416,3,2.9,204.0,4.032229016267361,4.220150176996932,204.0
20200416,4,2.7,205.0,3.7541442565247847,3.929105337204041,205.0
20200416,5,2.3,201.0,3.197974737039631,3.3470156576182566,201.0
20200416,6,2.0,188.0,2.7808475974257663,2.910448397928919,188.0
20200416,7,1.8,167.0,2.50276283768319,2.6194035581360273,167.0
20200416,8,2.0,147.0,2.7808475974257663,2.910448397928919,147.0
20200416,9,2.2,138.0,3.0589323571683433,3.2014932377218113,138.0
20200416,10,2.1,133.0,2.919889977297055,3.055970817825365,133.0
20200416,11,2.1,129.0,2.919889977297055,3.055970817825365,129.0
20200416,12,2.1,126.0,2.919889977297055,3.055970817825365,126.0
20200416,13,2.2,127.0,3.0589323571683433,3.2014932377218113,127.0
20200416,14,2.4,127.0,3.3370171169109195,3.492538077514703,127.0
20200416,15,2.6,123.0,3.615101876653496,3.7835829173075948,123.0
20200416,16,2.6,115.0,3.615101876653496,3.7835829173075948,115.0
20200416,17,2.4,104.0,3.3370171169109195,3.492538077514703,104.0
20200416,18,2.2,91.0,3.0589323571683433,3.2014932377218113,91.0
20200416,19,2.2,81.0,3.0589323571683433,3.2014932377218113,81.0
20200416,20,2.3,74.0,3.197974737039631,3.3470156576182566,74.0
20200416,21,2.6,74.0,3.615101876653496,3.7835829173075948,74.0
20200416,22,2.8,74.0,3.8931866363960723,4.074627757100486,74.0
20200416,23,3.2,71.0,4.449356155881227,4.656717436686271,71.0
20200417,0,3.5,68.0,4.866483295495091,5.093284696375608,68.0
20200417,1,3.6,66.0,5.00552567536638,5.238807116272055,66.0
20200417,2,3.6,66.0,5.00552567536638,5.238807116272055,66.0
20200417,3,3.4,69.0,4.727440915623803,4.947762276479162,69.0
20200417,4,3.2,74.0,4.449356155881227,4.656717436686271,74.0
20200417,5,2.9,82.0,4.032229016267361,4.220150176996932,82.0
20200417,6,2.8,92.0,3.8931866363960723,4.074627757100486,92.0
20200417,7,2.8,103.0,3.8931866363960723,4.074627757100486,103.0
20200417,8,2.9,112.0,4.032229016267361,4.220150176996932,112.0
20200417,9,3.0,117.0,4.17127139613865,4.365672596893378,117.0
20200417,10,3.1,119.0,4.310313776009939,4.5111950167898245,119.0
20200417,11,3.3,119.0,4.588398535752515,4.802239856582716,119.0
20200417,12,3.6,118.0,5.00552567536638,5.238807116272055,118.0
20200417,13,3.5,116.0,4.866483295495091,5.093284696375608,116.0
20200417,14,3.2,112.0,4.449356155881227,4.656717436686271,112.0
20200417,15,2.9,109.0,4.032229016267361,4.220150176996932,109.0
20200417,16,2.9,109.0,4.032229016267361,4.220150176996932,109.0
20200417,17,2.9,110.0,4.032229016267361,4.220150176996932,110.0
